Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount
Jan Morforth,India,Fruit & Nut Bars,17-12-2023,"$3,387.76",60,"3,387.76"
Dotty Strutley,India,Mint Chip Choco,17-12-2023,"$6,695",94,"6,695"
Curtice Advani,Australia,Orange Choco,17-12-2023,"$1,744",62,"1,744"
Van Tuxwell,New Zealand,Fruit & Nut Bars,17-12-2023,"$6,703",9,"6,703"
Marney O'Breen,UK,Drinking Coco,18-12-2023,"$1,016.77",28,"1,016.77"
Jehu Rudeforth,Canada,Smooth Sliky Salty,18-12-2023,"$6,199.12",132,"6,199.12"
Gunar Cockshoot,USA,Drinking Coco,19-12-2023,"$3,857.27",5,"3,857.27"
Van Tuxwell,India,Eclairs,19-12-2023,"$11,064.27",104,"11,064.27"
Karlen McCaffrey,Canada,Peanut Butter Cubes,19-12-2023,"$1,886",249,"1,886"
Gigi Bohling,UK,Milk Bars,19-12-2023,"$3,870",277,"3,870"
Brien Boise,Australia,Baker's Choco Chips,19-12-2023,"$8,331",9,"8,331"
Karlen McCaffrey,Canada,Caramel Stuffed Bars,19-12-2023,"$1,542",155,"1,542"
Marney O'Breen,USA,Baker's Choco Chips,20-12-2023,"$9,718.87",10,"9,718.87"
Marney O'Breen,USA,Baker's Choco Chips,21-12-2023,"$8,470.00",9,"8,470.00"
Karlen McCaffrey,UK,50% Dark Bites,21-12-2023,"$3,843.01",295,"3,843.01"
Gigi Bohling,USA,Milk Bars,21-12-2023,$516.92,141,516.92
Husein Augar,Australia,Fruit & Nut Bars,21-12-2023,"$8,548.00",55,"8,548.00"
Brien Boise,India,70% Dark Bites,21-12-2023,"$4,888.37",435,"4,888.37"
Barr Faughny,UK,Raspberry Choco,22-12-2023,"$6,016.80",71,"6,016.80"
Beverie Moffet,Canada,Fruit & Nut Bars,22-12-2023,"$2,512",209,"2,512"
Gunar Cockshoot,USA,Spicy Special Slims,23-12-2023,"$1,267.00",157,"1,267.00"
Jan Morforth,Canada,Fruit & Nut Bars,23-12-2023,"$8,904.00",199,"8,904.00"
Andria Kimpton,UK,Milk Bars,23-12-2023,"$17,101.67",307,"17,101.67"
Dennison Crosswaite,USA,Eclairs,23-12-2023,"$2,447.37",98,"2,447.37"
Dotty Strutley,New Zealand,Raspberry Choco,23-12-2023,$724,263,724
Camilla Castle,Australia,Raspberry Choco,24-12-2023,"$6,984.06",174,"6,984.06"
Jehu Rudeforth,New Zealand,After Nines,24-12-2023,"$1,736.59",70,"1,736.59"
Jan Morforth,India,85% Dark Bars,24-12-2023,"$4,755",302,"4,755"
Andria Kimpton,UK,Milk Bars,24-12-2023,"$6,173",26,"6,173"
Dennison Crosswaite,Canada,Drinking Coco,25-12-2023,"$2,702.00",24,"2,702.00"
Wilone O'Kielt,USA,50% Dark Bites,25-12-2023,"$5,084.32",126,"5,084.32"
Mallorie Waber,Australia,Spicy Special Slims,25-12-2023,"$6,476.09",304,"6,476.09"
Madelene Upcott,New Zealand,Raspberry Choco,25-12-2023,"$4,207",154,"4,207"
Mallorie Waber,USA,Almond Choco,26-12-2023,"$6,986.00",368,"6,986.00"
Dennison Crosswaite,USA,Drinking Coco,26-12-2023,"$2,191.00",138,"2,191.00"
Roddy Speechley,Canada,Orange Choco,26-12-2023,"$9,460.50",84,"9,460.50"
Barr Faughny,USA,Orange Choco,26-12-2023,"$4,244.36",11,"4,244.36"
Karlen McCaffrey,Australia,70% Dark Bites,26-12-2023,$278.78,332,278.78
Jan Morforth,New Zealand,Mint Chip Choco,26-12-2023,"$5,085",339,"5,085"
Oby Sorrel,India,Eclairs,26-12-2023,"$7,670",211,"7,670"
Gunar Cockshoot,UK,50% Dark Bites,27-12-2023,"$2,260.21",128,"2,260.21"
Andria Kimpton,USA,Caramel Stuffed Bars,27-12-2023,"$8,878.27",47,"8,878.27"
Andria Kimpton,UK,99% Dark & Pure,28-12-2023,"$1,155.00",66,"1,155.00"
Brien Boise,Australia,99% Dark & Pure,28-12-2023,"$3,073",190,"3,073"
Marney O'Breen,India,Caramel Stuffed Bars,28-12-2023,"$6,514",60,"6,514"
Roddy Speechley,UK,70% Dark Bites,28-12-2023,"$5,494",363,"5,494"
Mallorie Waber,Canada,Almond Choco,29-12-2023,"$4,214.00",35,"4,214.00"
Andria Kimpton,Australia,Drinking Coco,29-12-2023,"$1,657.20",49,"1,657.20"
Roddy Speechley,USA,Peanut Butter Cubes,29-12-2023,"$2,010.22",144,"2,010.22"
Dotty Strutley,UK,70% Dark Bites,29-12-2023,"$1,515.42",230,"1,515.42"
Jehu Rudeforth,Canada,Spicy Special Slims,29-12-2023,"$6,414",106,"6,414"
Barr Faughny,UK,50% Dark Bites,29-12-2023,"$6,061",132,"6,061"
Kelci Walkden,USA,50% Dark Bites,29-12-2023,$262,157,262
Gigi Bohling,USA,50% Dark Bites,30-12-2023,"$2,296.00",59,"2,296.00"
Brien Boise,Canada,Mint Chip Choco,30-12-2023,"$1,679",128,"1,679"
Jehu Rudeforth,UK,Baker's Choco Chips,30-12-2023,$121,229,121
Brien Boise,New Zealand,Baker's Choco Chips,31-12-2023,"$5,978.00",24,"5,978.00"
Curtice Advani,Canada,Eclairs,31-12-2023,$740.07,205,740.07
Barr Faughny,New Zealand,50% Dark Bites,31-12-2023,"$4,909.86",304,"4,909.86"
Oby Sorrel,Canada,Raspberry Choco,31-12-2023,"$1,941.25",221,"1,941.25"
Kaine Padly,UK,Peanut Butter Cubes,31-12-2023,"$4,932",139,"4,932"
Van Tuxwell,UK,Almond Choco,31-12-2023,"$8,398",325,"8,398"
Van Tuxwell,UK,Baker's Choco Chips,01-01-2024,"$2,443.00",20,"2,443.00"
Brien Boise,Canada,99% Dark & Pure,01-01-2024,"$16,793.00",416,"16,793.00"
Mallorie Waber,USA,Eclairs,01-01-2024,"$7,511.77",49,"7,511.77"
Barr Faughny,Canada,White Choc,01-01-2024,"$4,590.46",1,"4,590.46"
Kelci Walkden,Australia,Milk Bars,01-01-2024,"$3,352",284,"3,352"
Beverie Moffet,India,Almond Choco,01-01-2024,"$2,161",333,"2,161"
Ches Bonnell,India,Spicy Special Slims,02-01-2024,"$10,906.00",94,"10,906.00"
Beverie Moffet,Australia,Fruit & Nut Bars,02-01-2024,"$1,545.36",269,"1,545.36"
Gigi Bohling,Canada,Fruit & Nut Bars,02-01-2024,"$8,123",309,"8,123"
Jehu Rudeforth,Canada,Smooth Sliky Salty,03-01-2024,"$5,460.00",138,"5,460.00"
Dotty Strutley,UK,99% Dark & Pure,03-01-2024,"$6,570",352,"6,570"
Van Tuxwell,UK,Raspberry Choco,03-01-2024,"$5,169",307,"5,169"
Karlen McCaffrey,USA,Manuka Honey Choco,03-01-2024,"$9,396",127,"9,396"
Husein Augar,Australia,Fruit & Nut Bars,03-01-2024,"$4,478",295,"4,478"
Kelci Walkden,USA,Manuka Honey Choco,04-01-2024,"$17,318.00",87,"17,318.00"
Van Tuxwell,Australia,70% Dark Bites,04-01-2024,"$8,260.58",108,"8,260.58"
Jehu Rudeforth,USA,Raspberry Choco,04-01-2024,"$8,119.65",143,"8,119.65"
Madelene Upcott,Canada,70% Dark Bites,04-01-2024,"$8,725",177,"8,725"
Beverie Moffet,India,Manuka Honey Choco,05-01-2024,"$9,835.00",167,"9,835.00"
Van Tuxwell,USA,Manuka Honey Choco,05-01-2024,"$2,317.00",102,"2,317.00"
Kelci Walkden,Canada,99% Dark & Pure,05-01-2024,"$4,950.21",54,"4,950.21"
Camilla Castle,Australia,Caramel Stuffed Bars,05-01-2024,"$8,918",81,"8,918"
Van Tuxwell,Canada,Organic Choco Syrup,05-01-2024,"$1,322",109,"1,322"
Wilone O'Kielt,Australia,Baker's Choco Chips,06-01-2024,"$2,995.47",156,"2,995.47"
Ches Bonnell,Australia,Peanut Butter Cubes,06-01-2024,"$5,390",7,"5,390"
Camilla Castle,USA,Spicy Special Slims,06-01-2024,"$6,018",175,"6,018"
Gigi Bohling,New Zealand,Fruit & Nut Bars,06-01-2024,"$1,662",173,"1,662"
Madelene Upcott,Australia,Orange Choco,07-01-2024,"$7,556.55",404,"7,556.55"
Jehu Rudeforth,New Zealand,85% Dark Bars,07-01-2024,"$8,077.51",95,"8,077.51"
Mallorie Waber,USA,Peanut Butter Cubes,07-01-2024,"$1,263.98",19,"1,263.98"
Mallorie Waber,USA,50% Dark Bites,08-01-2024,"$1,736.00",13,"1,736.00"
Van Tuxwell,New Zealand,Smooth Sliky Salty,08-01-2024,"$3,115.00",42,"3,115.00"
Gunar Cockshoot,India,Smooth Sliky Salty,08-01-2024,"$3,938.20",70,"3,938.20"
Wilone O'Kielt,USA,Drinking Coco,08-01-2024,"$1,065.63",107,"1,065.63"
Jan Morforth,India,Spicy Special Slims,08-01-2024,"$2,048.34",506,"2,048.34"
Ches Bonnell,New Zealand,Drinking Coco,08-01-2024,"$1,310",80,"1,310"
Wilone O'Kielt,New Zealand,Almond Choco,09-01-2024,"$9,198.00",144,"9,198.00"
Karlen McCaffrey,USA,Orange Choco,09-01-2024,"$11,095.00",401,"11,095.00"
Oby Sorrel,UK,Smooth Sliky Salty,09-01-2024,"$9,625.00",313,"9,625.00"
Gigi Bohling,UK,Drinking Coco,09-01-2024,"$7,153",28,"7,153"
Jan Morforth,New Zealand,Orange Choco,09-01-2024,$247,50,247
Brien Boise,India,Spicy Special Slims,09-01-2024,"$2,356",199,"2,356"
Gigi Bohling,Australia,Orange Choco,09-01-2024,"$4,537",139,"4,537"
Camilla Castle,UK,White Choc,10-01-2024,"$9,982.00",187,"9,982.00"
Gunar Cockshoot,Australia,50% Dark Bites,10-01-2024,"$13,072.95",119,"13,072.95"
Andria Kimpton,Canada,Caramel Stuffed Bars,10-01-2024,"$5,874",15,"5,874"
Roddy Speechley,Australia,85% Dark Bars,10-01-2024,"$5,265",281,"5,265"
Husein Augar,Australia,99% Dark & Pure,11-01-2024,"$3,430.43",123,"3,430.43"
Andria Kimpton,Canada,70% Dark Bites,11-01-2024,"$12,109.00",16,"12,109.00"
Van Tuxwell,India,Baker's Choco Chips,11-01-2024,"$1,164",397,"1,164"
Andria Kimpton,New Zealand,Almond Choco,11-01-2024,"$3,918",68,"3,918"
Kaine Padly,Canada,After Nines,11-01-2024,"$6,833",86,"6,833"
Dotty Strutley,Canada,Raspberry Choco,12-01-2024,"$4,347.00",238,"4,347.00"
Van Tuxwell,India,Organic Choco Syrup,12-01-2024,"$22,751.18",182,"22,751.18"
Oby Sorrel,Australia,Spicy Special Slims,12-01-2024,"$3,234",319,"3,234"
Oby Sorrel,New Zealand,Organic Choco Syrup,12-01-2024,"$4,673",277,"4,673"
Brien Boise,New Zealand,Organic Choco Syrup,13-01-2024,$689.40,331,689.4
Camilla Castle,USA,50% Dark Bites,13-01-2024,"$6,215.72",324,"6,215.72"
Wilone O'Kielt,UK,Organic Choco Syrup,13-01-2024,"$4,964.25",56,"4,964.25"
Wilone O'Kielt,USA,Drinking Coco,13-01-2024,"$1,213.63",101,"1,213.63"
Gigi Bohling,Canada,Spicy Special Slims,13-01-2024,"$13,644.00",281,"13,644.00"
Marney O'Breen,New Zealand,Fruit & Nut Bars,13-01-2024,"$9,757",4,"9,757"
Gunar Cockshoot,Canada,Almond Choco,13-01-2024,"$4,120",159,"4,120"
Camilla Castle,UK,Mint Chip Choco,13-01-2024,"$9,473",247,"9,473"
Madelene Upcott,Canada,Peanut Butter Cubes,13-01-2024,"$6,720",125,"6,720"
Oby Sorrel,Australia,Manuka Honey Choco,14-01-2024,"$3,906.00",76,"3,906.00"
Jan Morforth,Canada,70% Dark Bites,14-01-2024,"$5,894.00",305,"5,894.00"
Kaine Padly,New Zealand,Spicy Special Slims,14-01-2024,"$8,291",245,"8,291"
Andria Kimpton,Canada,After Nines,14-01-2024,"$6,907",112,"6,907"
Dotty Strutley,USA,Orange Choco,15-01-2024,"$1,452.94",112,"1,452.94"
Dennison Crosswaite,Canada,Eclairs,15-01-2024,$492.21,45,492.21
Barr Faughny,USA,50% Dark Bites,15-01-2024,"$15,372.94",124,"15,372.94"
Oby Sorrel,New Zealand,Spicy Special Slims,15-01-2024,"$4,635",25,"4,635"
Camilla Castle,Canada,Orange Choco,16-01-2024,"$7,770.00",54,"7,770.00"
Mallorie Waber,Canada,Caramel Stuffed Bars,16-01-2024,"$5,194.28",547,"5,194.28"
Husein Augar,India,Spicy Special Slims,16-01-2024,$909,260,909
Dennison Crosswaite,UK,White Choc,16-01-2024,$429,329,429
Curtice Advani,Australia,Organic Choco Syrup,17-01-2024,"$3,472.00",311,"3,472.00"
Kaine Padly,New Zealand,70% Dark Bites,17-01-2024,$275,193,275
Wilone O'Kielt,USA,Smooth Sliky Salty,18-01-2024,$504.00,87,504
Andria Kimpton,New Zealand,Mint Chip Choco,18-01-2024,"$10,696.21",201,"10,696.21"
Camilla Castle,UK,Peanut Butter Cubes,18-01-2024,"$5,267.69",120,"5,267.69"
Jan Morforth,UK,Baker's Choco Chips,18-01-2024,"$7,605",23,"7,605"
Brien Boise,USA,Raspberry Choco,18-01-2024,"$8,749",108,"8,749"
Mallorie Waber,Australia,Choco Coated Almonds,19-01-2024,"$15,750.00",92,"15,750.00"
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,19-01-2024,"$13,083.00",14,"13,083.00"
Andria Kimpton,Canada,Eclairs,19-01-2024,$339.99,124,339.99
Husein Augar,Canada,Choco Coated Almonds,19-01-2024,"$8,790",338,"8,790"
Karlen McCaffrey,Canada,Peanut Butter Cubes,19-01-2024,"$9,761",240,"9,761"
Gigi Bohling,Canada,Baker's Choco Chips,19-01-2024,"$2,267",349,"2,267"
Rafaelita Blaksland,USA,Drinking Coco,19-01-2024,"$5,516",128,"5,516"
Kelci Walkden,India,Raspberry Choco,19-01-2024,"$6,819",178,"6,819"
Dotty Strutley,USA,Mint Chip Choco,20-01-2024,"$8,442",260,"8,442"
Jan Morforth,UK,White Choc,20-01-2024,"$9,494",166,"9,494"
Ches Bonnell,Australia,Choco Coated Almonds,20-01-2024,"$8,307",400,"8,307"
Roddy Speechley,UK,70% Dark Bites,21-01-2024,"$1,421.00",284,"1,421.00"
Kelci Walkden,Australia,After Nines,21-01-2024,"$8,265.41",298,"8,265.41"
Dotty Strutley,UK,99% Dark & Pure,21-01-2024,"$3,758",109,"3,758"
Van Tuxwell,UK,Eclairs,22-01-2024,"$5,474.00",109,"5,474.00"
Roddy Speechley,Australia,Drinking Coco,22-01-2024,"$13,288.65",112,"13,288.65"
Curtice Advani,UK,Manuka Honey Choco,22-01-2024,"$1,969.62",114,"1,969.62"
Curtice Advani,UK,Fruit & Nut Bars,23-01-2024,"$10,927.00",136,"10,927.00"
Beverie Moffet,Canada,85% Dark Bars,23-01-2024,"$6,829.86",46,"6,829.86"
Madelene Upcott,Canada,Milk Bars,23-01-2024,"$4,285.13",87,"4,285.13"
Gunar Cockshoot,New Zealand,Spicy Special Slims,23-01-2024,"$7,712.91",192,"7,712.91"
Ches Bonnell,Canada,Choco Coated Almonds,24-01-2024,"$15,547.00",269,"15,547.00"
Husein Augar,Canada,70% Dark Bites,24-01-2024,"$5,833.20",290,"5,833.20"
Kelci Walkden,Canada,Fruit & Nut Bars,24-01-2024,$840.71,162,840.71
Barr Faughny,New Zealand,Eclairs,24-01-2024,"$8,902",345,"8,902"
Kaine Padly,UK,Manuka Honey Choco,24-01-2024,$578,294,578
Kelci Walkden,Canada,After Nines,25-01-2024,"$19,449.02",204,"19,449.02"
Brien Boise,India,After Nines,25-01-2024,"$6,555.46",45,"6,555.46"
Mallorie Waber,UK,50% Dark Bites,25-01-2024,"$8,558",131,"8,558"
Brien Boise,New Zealand,Organic Choco Syrup,26-01-2024,$637.00,313,637
Van Tuxwell,India,Spicy Special Slims,26-01-2024,"$6,167.00",4,"6,167.00"
Mallorie Waber,New Zealand,Orange Choco,26-01-2024,"$7,459.88",23,"7,459.88"
Beverie Moffet,UK,Choco Coated Almonds,26-01-2024,"$3,303.13",73,"3,303.13"
Dennison Crosswaite,New Zealand,White Choc,26-01-2024,"$7,752",339,"7,752"
Roddy Speechley,India,50% Dark Bites,26-01-2024,"$1,730",253,"1,730"
Dotty Strutley,UK,99% Dark & Pure,27-01-2024,"$9,310.00",282,"9,310.00"
Barr Faughny,Australia,Organic Choco Syrup,27-01-2024,"$2,303.00",33,"2,303.00"
Beverie Moffet,India,Organic Choco Syrup,27-01-2024,"$1,036.00",20,"1,036.00"
Andria Kimpton,USA,Spicy Special Slims,27-01-2024,"$5,043",305,"5,043"
Kelci Walkden,India,Drinking Coco,28-01-2024,"$8,105.37",255,"8,105.37"
Dennison Crosswaite,UK,White Choc,28-01-2024,"$7,228",22,"7,228"
Madelene Upcott,Australia,Choco Coated Almonds,28-01-2024,"$8,882",364,"8,882"
Karlen McCaffrey,USA,Eclairs,28-01-2024,"$1,863",81,"1,863"
Jan Morforth,Australia,70% Dark Bites,28-01-2024,"$5,459",227,"5,459"
Gunar Cockshoot,USA,After Nines,28-01-2024,"$7,653",270,"7,653"
Andria Kimpton,Australia,Drinking Coco,28-01-2024,"$9,190",114,"9,190"
Jehu Rudeforth,New Zealand,Milk Bars,29-01-2024,"$4,514",223,"4,514"
Kaine Padly,Australia,Manuka Honey Choco,30-01-2024,"$2,765.00",264,"2,765.00"
Mallorie Waber,Canada,Almond Choco,30-01-2024,"$4,753.93",37,"4,753.93"
Wilone O'Kielt,Australia,Fruit & Nut Bars,30-01-2024,$472.27,101,472.27
Marney O'Breen,Canada,Milk Bars,30-01-2024,"$8,983",186,"8,983"
Curtice Advani,Canada,99% Dark & Pure,30-01-2024,"$9,442",161,"9,442"
Jan Morforth,Australia,Drinking Coco,31-01-2024,"$3,160.97",25,"3,160.97"
Kaine Padly,Australia,Eclairs,31-01-2024,"$4,465",215,"4,465"
Dennison Crosswaite,New Zealand,Manuka Honey Choco,31-01-2024,$116,127,116
Kelci Walkden,USA,Manuka Honey Choco,31-01-2024,"$4,101",318,"4,101"
Gigi Bohling,New Zealand,Raspberry Choco,01-02-2024,"$1,127.00",176,"1,127.00"
Camilla Castle,Australia,Raspberry Choco,01-02-2024,"$6,641.89",188,"6,641.89"
Van Tuxwell,Australia,Caramel Stuffed Bars,01-02-2024,"$8,148",326,"8,148"
Rafaelita Blaksland,Australia,Smooth Sliky Salty,02-02-2024,"$3,969.00",243,"3,969.00"
Curtice Advani,Canada,Peanut Butter Cubes,02-02-2024,"$5,646.99",64,"5,646.99"
Mallorie Waber,India,White Choc,02-02-2024,$969.15,233,969.15
Kaine Padly,Australia,Eclairs,02-02-2024,"$7,683",191,"7,683"
Van Tuxwell,UK,Organic Choco Syrup,02-02-2024,"$3,615",317,"3,615"
Dennison Crosswaite,UK,Baker's Choco Chips,02-02-2024,"$3,063",164,"3,063"
Brien Boise,Canada,99% Dark & Pure,02-02-2024,"$4,036",287,"4,036"
Madelene Upcott,USA,Almond Choco,02-02-2024,"$4,972",394,"4,972"
Kaine Padly,UK,After Nines,03-02-2024,"$21,812.86",183,"21,812.86"
Oby Sorrel,India,Raspberry Choco,03-02-2024,"$7,203",305,"7,203"
Gunar Cockshoot,UK,Spicy Special Slims,04-02-2024,"$12,488.00",200,"12,488.00"
Dennison Crosswaite,India,Fruit & Nut Bars,04-02-2024,$952.00,24,952
Madelene Upcott,New Zealand,Fruit & Nut Bars,04-02-2024,"$5,516",69,"5,516"
Beverie Moffet,Canada,Smooth Sliky Salty,04-02-2024,"$6,402",381,"6,402"
Gunar Cockshoot,UK,Raspberry Choco,04-02-2024,"$8,016",165,"8,016"
Marney O'Breen,USA,50% Dark Bites,05-02-2024,"$1,064.00",106,"1,064.00"
Roddy Speechley,UK,Raspberry Choco,05-02-2024,"$14,297.82",211,"14,297.82"
Gigi Bohling,New Zealand,Fruit & Nut Bars,05-02-2024,"$12,314.13",129,"12,314.13"
Gunar Cockshoot,UK,Choco Coated Almonds,05-02-2024,"$6,154.53",132,"6,154.53"
Madelene Upcott,India,Raspberry Choco,05-02-2024,"$5,786",136,"5,786"
Jan Morforth,India,Peanut Butter Cubes,05-02-2024,"$5,810",297,"5,810"
Ches Bonnell,India,Orange Choco,06-02-2024,"$1,190.00",256,"1,190.00"
Karlen McCaffrey,Canada,70% Dark Bites,06-02-2024,"$9,089.21",602,"9,089.21"
Andria Kimpton,Canada,70% Dark Bites,07-02-2024,"$10,262.00",15,"10,262.00"
Karlen McCaffrey,UK,Almond Choco,07-02-2024,"$6,839.00",133,"6,839.00"
Roddy Speechley,New Zealand,Baker's Choco Chips,07-02-2024,"$5,954.47",236,"5,954.47"
Kelci Walkden,UK,85% Dark Bars,07-02-2024,"$4,811.88",242,"4,811.88"
Brien Boise,UK,Spicy Special Slims,07-02-2024,"$5,826",73,"5,826"
Camilla Castle,USA,White Choc,07-02-2024,$418,196,418
Jehu Rudeforth,Australia,Drinking Coco,08-02-2024,"$2,900.61",68,"2,900.61"
Oby Sorrel,USA,Almond Choco,08-02-2024,"$7,640.61",154,"7,640.61"
Beverie Moffet,Canada,85% Dark Bars,08-02-2024,$312,94,312
Gigi Bohling,New Zealand,Raspberry Choco,09-02-2024,"$1,161.31",181,"1,161.31"
Van Tuxwell,UK,Milk Bars,09-02-2024,"$2,683",315,"2,683"
Madelene Upcott,UK,99% Dark & Pure,09-02-2024,"$4,737",229,"4,737"
Wilone O'Kielt,India,After Nines,09-02-2024,"$7,114",197,"7,114"
Mallorie Waber,Australia,Almond Choco,10-02-2024,"$8,522.80",137,"8,522.80"
Karlen McCaffrey,India,Manuka Honey Choco,10-02-2024,"$1,353",307,"1,353"
Dennison Crosswaite,USA,Eclairs,10-02-2024,"$3,268",95,"3,268"
Kelci Walkden,India,Almond Choco,10-02-2024,"$3,877",129,"3,877"
Curtice Advani,India,Manuka Honey Choco,11-02-2024,"$1,683.88",169,"1,683.88"
Karlen McCaffrey,USA,Orange Choco,11-02-2024,"$4,775",147,"4,775"
Brien Boise,USA,Orange Choco,11-02-2024,"$5,256",379,"5,256"
Marney O'Breen,USA,Orange Choco,12-02-2024,"$7,595.00",181,"7,595.00"
Oby Sorrel,India,85% Dark Bars,12-02-2024,"$8,981.00",130,"8,981.00"
Van Tuxwell,Australia,Organic Choco Syrup,12-02-2024,"$19,453.00",14,"19,453.00"
Oby Sorrel,Australia,85% Dark Bars,12-02-2024,"$9,950",315,"9,950"
Beverie Moffet,USA,Raspberry Choco,12-02-2024,"$6,804",89,"6,804"
Curtice Advani,Canada,Eclairs,12-02-2024,"$3,010",192,"3,010"
Camilla Castle,New Zealand,Caramel Stuffed Bars,13-02-2024,"$4,920.68",380,"4,920.68"
Curtice Advani,India,Mint Chip Choco,13-02-2024,"$6,320",202,"6,320"
Gunar Cockshoot,New Zealand,Spicy Special Slims,14-02-2024,"$6,867.00",183,"6,867.00"
Jan Morforth,New Zealand,Orange Choco,14-02-2024,"$1,382.49",86,"1,382.49"
Van Tuxwell,UK,Eclairs,14-02-2024,"$5,776.61",114,"5,776.61"
Curtice Advani,Canada,70% Dark Bites,14-02-2024,"$4,109",105,"4,109"
Brien Boise,Australia,White Choc,14-02-2024,"$2,318",332,"2,318"
Kaine Padly,USA,70% Dark Bites,14-02-2024,"$1,927",315,"1,927"
Oby Sorrel,USA,Smooth Sliky Salty,14-02-2024,$887,329,887
Roddy Speechley,Canada,Milk Bars,15-02-2024,$609.00,32,609
Oby Sorrel,UK,99% Dark & Pure,15-02-2024,"$2,193",296,"2,193"
Roddy Speechley,Australia,Almond Choco,15-02-2024,$837,352,837
Van Tuxwell,Canada,White Choc,16-02-2024,$420.00,3,420
Barr Faughny,New Zealand,85% Dark Bars,16-02-2024,"$2,100.00",157,"2,100.00"
Ches Bonnell,New Zealand,Caramel Stuffed Bars,16-02-2024,"$3,880",217,"3,880"
Jehu Rudeforth,Australia,Peanut Butter Cubes,17-02-2024,"$7,140",202,"7,140"
Oby Sorrel,India,Spicy Special Slims,17-02-2024,$928,127,928
Gigi Bohling,New Zealand,Manuka Honey Choco,18-02-2024,"$8,267.00",272,"8,267.00"
Gigi Bohling,India,Raspberry Choco,18-02-2024,"$2,775.87",174,"2,775.87"
Gunar Cockshoot,Australia,99% Dark & Pure,18-02-2024,"$8,564.73",237,"8,564.73"
Kaine Padly,Canada,Organic Choco Syrup,18-02-2024,"$6,797.67",82,"6,797.67"
Ches Bonnell,New Zealand,Organic Choco Syrup,18-02-2024,"$8,134.67",83,"8,134.67"
Roddy Speechley,India,Smooth Sliky Salty,18-02-2024,"$6,014.30",141,"6,014.30"
Oby Sorrel,New Zealand,Spicy Special Slims,19-02-2024,"$1,617.00",13,"1,617.00"
Karlen McCaffrey,Canada,50% Dark Bites,19-02-2024,"$2,966.83",65,"2,966.83"
Brien Boise,USA,99% Dark & Pure,19-02-2024,"$7,323.82",339,"7,323.82"
Oby Sorrel,India,Choco Coated Almonds,19-02-2024,$53.31,371,53.31
Curtice Advani,India,Milk Bars,19-02-2024,"$2,288",301,"2,288"
Dotty Strutley,New Zealand,White Choc,20-02-2024,"$7,014.00",60,"7,014.00"
Mallorie Waber,Australia,Orange Choco,20-02-2024,"$9,853",315,"9,853"
Jan Morforth,Canada,After Nines,20-02-2024,"$5,598",323,"5,598"
Oby Sorrel,UK,After Nines,21-02-2024,"$2,587.76",108,"2,587.76"
Brien Boise,Canada,Manuka Honey Choco,22-02-2024,"$7,308.24",178,"7,308.24"
Madelene Upcott,USA,Baker's Choco Chips,22-02-2024,"$3,537",362,"3,537"
Mallorie Waber,India,Drinking Coco,23-02-2024,"$4,525.72",146,"4,525.72"
Gunar Cockshoot,India,Spicy Special Slims,23-02-2024,"$7,117.30",174,"7,117.30"
Roddy Speechley,UK,Peanut Butter Cubes,23-02-2024,"$6,770.35",173,"6,770.35"
Jehu Rudeforth,UK,Baker's Choco Chips,24-02-2024,"$2,629.59",98,"2,629.59"
Beverie Moffet,UK,Spicy Special Slims,24-02-2024,"$6,053",271,"6,053"
Gunar Cockshoot,India,50% Dark Bites,24-02-2024,"$2,497",221,"2,497"
Curtice Advani,Australia,50% Dark Bites,24-02-2024,"$7,277",189,"7,277"
Roddy Speechley,UK,Raspberry Choco,24-02-2024,"$4,369",385,"4,369"
Camilla Castle,India,50% Dark Bites,24-02-2024,$203,266,203
Ches Bonnell,UK,Peanut Butter Cubes,24-02-2024,"$5,349",90,"5,349"
Rafaelita Blaksland,India,After Nines,25-02-2024,"$4,739.00",204,"4,739.00"
Husein Augar,UK,Caramel Stuffed Bars,25-02-2024,"$16,457.28",442,"16,457.28"
Roddy Speechley,India,Spicy Special Slims,25-02-2024,"$3,948",115,"3,948"
Gigi Bohling,Australia,70% Dark Bites,25-02-2024,"$3,368",95,"3,368"
Curtice Advani,Canada,Peanut Butter Cubes,26-02-2024,"$4,935.00",63,"4,935.00"
Jan Morforth,India,Choco Coated Almonds,26-02-2024,"$2,987.81",136,"2,987.81"
Andria Kimpton,New Zealand,Peanut Butter Cubes,26-02-2024,"$3,258",384,"3,258"
Dotty Strutley,UK,Mint Chip Choco,26-02-2024,"$1,683",374,"1,683"
Husein Augar,Australia,Organic Choco Syrup,27-02-2024,"$1,018.80",157,"1,018.80"
Beverie Moffet,Australia,Fruit & Nut Bars,27-02-2024,"$1,718.97",260,"1,718.97"
Brien Boise,New Zealand,Smooth Sliky Salty,27-02-2024,"$3,257",235,"3,257"
Karlen McCaffrey,Canada,Fruit & Nut Bars,27-02-2024,"$2,537",344,"2,537"
Curtice Advani,New Zealand,Spicy Special Slims,28-02-2024,"$3,331",224,"3,331"
Rafaelita Blaksland,Australia,Smooth Sliky Salty,28-02-2024,"$7,842",127,"7,842"
Barr Faughny,UK,White Choc,28-02-2024,$411,46,411
Marney O'Breen,UK,Caramel Stuffed Bars,29-02-2024,"$3,549.00",112,"3,549.00"
